starttime	seconds	ctime	dtime	ttime	wait
Sun Mar 23 23:42:25 2014	1395614545	122	70	193	44
Sun Mar 23 23:42:25 2014	1395614545	123	70	193	44
Sun Mar 23 23:42:25 2014	1395614545	122	71	193	44
Sun Mar 23 23:42:25 2014	1395614545	122	71	193	44
Sun Mar 23 23:42:25 2014	1395614545	123	70	193	44
Sun Mar 23 23:42:25 2014	1395614545	122	71	193	44
Sun Mar 23 23:42:25 2014	1395614545	123	70	194	44
Sun Mar 23 23:42:25 2014	1395614545	122	72	194	44
Sun Mar 23 23:42:25 2014	1395614545	124	70	194	44
Sun Mar 23 23:42:25 2014	1395614545	122	72	194	44
Sun Mar 23 23:42:25 2014	1395614545	122	72	194	44
Sun Mar 23 23:42:25 2014	1395614545	124	70	194	44
Sun Mar 23 23:42:25 2014	1395614545	122	72	194	44
Sun Mar 23 23:42:25 2014	1395614545	124	70	194	45
Sun Mar 23 23:42:25 2014	1395614545	122	72	194	44
Sun Mar 23 23:42:25 2014	1395614545	124	70	194	45
Sun Mar 23 23:42:25 2014	1395614545	125	70	195	45
Sun Mar 23 23:42:25 2014	1395614545	125	70	195	45
Sun Mar 23 23:42:25 2014	1395614545	125	70	195	45
Sun Mar 23 23:42:25 2014	1395614545	122	73	195	44
Sun Mar 23 23:42:25 2014	1395614545	125	70	195	45
Sun Mar 23 23:42:25 2014	1395614545	122	73	195	44
Sun Mar 23 23:42:25 2014	1395614545	122	74	195	44
Sun Mar 23 23:42:25 2014	1395614545	126	70	195	45
Sun Mar 23 23:42:25 2014	1395614545	122	74	196	44
Sun Mar 23 23:42:25 2014	1395614545	126	70	196	46
Sun Mar 23 23:42:25 2014	1395614545	122	74	196	44
Sun Mar 23 23:42:25 2014	1395614545	122	74	196	44
Sun Mar 23 23:42:25 2014	1395614545	126	70	196	46
Sun Mar 23 23:42:25 2014	1395614545	127	69	196	46
Sun Mar 23 23:42:25 2014	1395614545	127	70	197	46
Sun Mar 23 23:42:25 2014	1395614545	127	69	197	46
Sun Mar 23 23:42:25 2014	1395614545	122	75	197	74
Sun Mar 23 23:42:25 2014	1395614545	127	69	197	46
Sun Mar 23 23:42:25 2014	1395614545	122	75	197	74
Sun Mar 23 23:42:25 2014	1395614545	122	75	197	74
Sun Mar 23 23:42:25 2014	1395614545	128	69	197	46
Sun Mar 23 23:42:25 2014	1395614545	128	69	197	47
Sun Mar 23 23:42:25 2014	1395614545	138	59	197	52
Sun Mar 23 23:42:25 2014	1395614545	138	59	197	52
Sun Mar 23 23:42:25 2014	1395614545	138	60	197	52
Sun Mar 23 23:42:25 2014	1395614545	128	69	197	47
Sun Mar 23 23:42:25 2014	1395614545	123	75	197	44
Sun Mar 23 23:42:25 2014	1395614545	123	75	197	44
Sun Mar 23 23:42:25 2014	1395614545	128	69	198	47
Sun Mar 23 23:42:25 2014	1395614545	138	60	198	52
Sun Mar 23 23:42:25 2014	1395614545	129	69	198	47
Sun Mar 23 23:42:25 2014	1395614545	123	75	198	44
Sun Mar 23 23:42:25 2014	1395614545	138	60	198	52
Sun Mar 23 23:42:25 2014	1395614545	123	75	198	75
Sun Mar 23 23:42:25 2014	1395614545	123	75	198	45
Sun Mar 23 23:42:25 2014	1395614545	129	69	198	47
Sun Mar 23 23:42:25 2014	1395614545	138	61	198	52
Sun Mar 23 23:42:25 2014	1395614545	130	69	198	48
Sun Mar 23 23:42:25 2014	1395614545	129	69	198	47
Sun Mar 23 23:42:25 2014	1395614545	122	76	198	75
Sun Mar 23 23:42:25 2014	1395614545	123	75	198	45
Sun Mar 23 23:42:25 2014	1395614545	130	69	198	47
Sun Mar 23 23:42:25 2014	1395614545	129	69	198	47
Sun Mar 23 23:42:25 2014	1395614545	137	61	198	52
Sun Mar 23 23:42:25 2014	1395614545	130	69	199	48
Sun Mar 23 23:42:25 2014	1395614545	124	75	199	45
Sun Mar 23 23:42:25 2014	1395614545	137	62	199	52
Sun Mar 23 23:42:25 2014	1395614545	137	61	199	52
Sun Mar 23 23:42:25 2014	1395614545	130	69	199	48
Sun Mar 23 23:42:25 2014	1395614545	124	75	199	45
Sun Mar 23 23:42:25 2014	1395614545	141	58	199	54
Sun Mar 23 23:42:25 2014	1395614545	141	58	199	54
Sun Mar 23 23:42:25 2014	1395614545	131	69	199	48
Sun Mar 23 23:42:25 2014	1395614545	141	58	199	54
Sun Mar 23 23:42:25 2014	1395614545	124	75	199	45
Sun Mar 23 23:42:25 2014	1395614545	140	60	199	53
Sun Mar 23 23:42:25 2014	1395614545	140	60	199	53
Sun Mar 23 23:42:25 2014	1395614545	140	59	199	53
Sun Mar 23 23:42:25 2014	1395614545	131	69	199	48
Sun Mar 23 23:42:25 2014	1395614545	141	58	199	54
Sun Mar 23 23:42:25 2014	1395614545	142	57	200	55
Sun Mar 23 23:42:25 2014	1395614545	140	59	200	54
Sun Mar 23 23:42:25 2014	1395614545	142	58	200	55
Sun Mar 23 23:42:25 2014	1395614545	131	68	200	48
Sun Mar 23 23:42:25 2014	1395614545	140	59	200	53
Sun Mar 23 23:42:25 2014	1395614545	125	75	200	45
Sun Mar 23 23:42:25 2014	1395614545	142	58	200	55
Sun Mar 23 23:42:25 2014	1395614545	142	58	200	55
Sun Mar 23 23:42:25 2014	1395614545	142	58	200	55
Sun Mar 23 23:42:25 2014	1395614545	142	58	200	55
Sun Mar 23 23:42:25 2014	1395614545	142	58	200	55
Sun Mar 23 23:42:25 2014	1395614545	142	58	200	55
Sun Mar 23 23:42:25 2014	1395614545	142	58	200	54
Sun Mar 23 23:42:25 2014	1395614545	132	68	200	49
Sun Mar 23 23:42:25 2014	1395614545	137	63	200	52
Sun Mar 23 23:42:25 2014	1395614545	142	58	200	54
Sun Mar 23 23:42:25 2014	1395614545	132	68	200	49
Sun Mar 23 23:42:25 2014	1395614545	132	68	200	49
Sun Mar 23 23:42:25 2014	1395614545	125	75	200	46
Sun Mar 23 23:42:25 2014	1395614545	137	63	200	52
Sun Mar 23 23:42:25 2014	1395614545	142	58	200	55
Sun Mar 23 23:42:25 2014	1395614545	132	68	200	49
Sun Mar 23 23:42:25 2014	1395614545	142	58	200	55
Sun Mar 23 23:42:25 2014	1395614545	125	75	200	46
Sun Mar 23 23:42:25 2014	1395614545	125	75	200	46
Sun Mar 23 23:42:25 2014	1395614545	125	75	200	46
Sun Mar 23 23:42:25 2014	1395614545	137	63	200	52
Sun Mar 23 23:42:25 2014	1395614545	125	75	200	46
Sun Mar 23 23:42:25 2014	1395614545	133	68	200	49
Sun Mar 23 23:42:25 2014	1395614545	126	75	200	46
Sun Mar 23 23:42:25 2014	1395614545	142	58	200	55
Sun Mar 23 23:42:25 2014	1395614545	142	59	200	54
Sun Mar 23 23:42:25 2014	1395614545	125	75	200	46
Sun Mar 23 23:42:25 2014	1395614545	133	68	200	49
Sun Mar 23 23:42:25 2014	1395614545	137	64	200	52
Sun Mar 23 23:42:25 2014	1395614545	141	59	201	54
Sun Mar 23 23:42:25 2014	1395614545	142	59	201	54
Sun Mar 23 23:42:25 2014	1395614545	142	59	201	55
Sun Mar 23 23:42:25 2014	1395614545	126	75	201	46
Sun Mar 23 23:42:25 2014	1395614545	141	59	201	54
Sun Mar 23 23:42:25 2014	1395614545	137	64	201	52
Sun Mar 23 23:42:25 2014	1395614545	140	61	201	53
Sun Mar 23 23:42:25 2014	1395614545	137	64	201	52
Sun Mar 23 23:42:25 2014	1395614545	140	61	201	53
Sun Mar 23 23:42:25 2014	1395614545	140	61	201	53
Sun Mar 23 23:42:25 2014	1395614545	133	68	201	49
Sun Mar 23 23:42:25 2014	1395614545	140	61	201	53
Sun Mar 23 23:42:25 2014	1395614545	141	60	201	54
Sun Mar 23 23:42:25 2014	1395614545	126	75	201	46
Sun Mar 23 23:42:25 2014	1395614545	141	60	201	54
Sun Mar 23 23:42:25 2014	1395614545	137	64	201	52
Sun Mar 23 23:42:25 2014	1395614545	140	60	201	54
Sun Mar 23 23:42:25 2014	1395614545	137	64	201	52
Sun Mar 23 23:42:25 2014	1395614545	138	63	201	53
Sun Mar 23 23:42:25 2014	1395614545	139	61	201	53
Sun Mar 23 23:42:25 2014	1395614545	137	64	201	52
Sun Mar 23 23:42:25 2014	1395614545	137	64	201	52
Sun Mar 23 23:42:25 2014	1395614545	126	75	201	46
Sun Mar 23 23:42:25 2014	1395614545	141	60	201	54
Sun Mar 23 23:42:25 2014	1395614545	139	62	201	53
Sun Mar 23 23:42:25 2014	1395614545	133	68	201	50
Sun Mar 23 23:42:25 2014	1395614545	136	65	201	52
Sun Mar 23 23:42:25 2014	1395614545	126	75	201	46
Sun Mar 23 23:42:25 2014	1395614545	138	63	201	52
Sun Mar 23 23:42:25 2014	1395614545	139	62	201	53
Sun Mar 23 23:42:25 2014	1395614545	138	63	201	52
Sun Mar 23 23:42:25 2014	1395614545	136	65	201	52
Sun Mar 23 23:42:25 2014	1395614545	134	68	201	50
Sun Mar 23 23:42:25 2014	1395614545	139	62	201	53
Sun Mar 23 23:42:25 2014	1395614545	136	65	201	52
Sun Mar 23 23:42:25 2014	1395614545	136	65	201	51
Sun Mar 23 23:42:25 2014	1395614545	137	64	201	52
Sun Mar 23 23:42:25 2014	1395614545	127	75	201	46
Sun Mar 23 23:42:25 2014	1395614545	139	63	201	53
Sun Mar 23 23:42:25 2014	1395614545	136	65	201	52
Sun Mar 23 23:42:25 2014	1395614545	134	67	201	50
Sun Mar 23 23:42:25 2014	1395614545	134	67	201	50
